data_classification,respondent_id,synthetic_profile,account_count,distinct_password_groups,normalized_password_diversity,reused_account_pair_rate,largest_exposure_cascade
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0019,high_reuse,14,7,0.5,0.1758,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0020,moderate_reuse,14,9,0.6429,0.1648,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0021,low_reuse,16,13,0.8125,0.025,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0022,moderate_reuse,14,10,0.7143,0.0549,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0023,low_reuse,12,9,0.75,0.0455,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0024,moderate_reuse,15,7,0.4667,0.1143,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0025,low_reuse,13,12,0.9231,0.0128,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0026,moderate_reuse,15,9,0.6,0.0857,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0027,low_reuse,12,10,0.8333,0.0303,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0028,low_reuse,15,12,0.8,0.0381,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0029,high_reuse,15,4,0.2667,0.6286,12
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0030,moderate_reuse,14,9,0.6429,0.0989,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0031,low_reuse,16,14,0.875,0.0167,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0032,low_reuse,15,11,0.7333,0.0381,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0033,low_reuse,14,14,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0034,moderate_reuse,10,7,0.7,0.1333,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0035,low_reuse,13,11,0.8462,0.0385,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0036,moderate_reuse,14,10,0.7143,0.0659,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0037,moderate_reuse,15,9,0.6,0.1238,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0038,moderate_reuse,12,7,0.5833,0.1061,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0039,moderate_reuse,13,7,0.5385,0.1282,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0040,low_reuse,15,12,0.8,0.0381,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0041,high_reuse,13,4,0.3077,0.3205,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0042,low_reuse,12,10,0.8333,0.0303,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0043,low_reuse,12,10,0.8333,0.0455,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0044,low_reuse,14,13,0.9286,0.011,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0045,moderate_reuse,12,8,0.6667,0.0758,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0046,low_reuse,14,13,0.9286,0.011,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0047,high_reuse,12,4,0.3333,0.303,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0048,moderate_reuse,12,4,0.3333,0.2424,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0049,low_reuse,14,14,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0050,low_reuse,12,9,0.75,0.0455,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0051,low_reuse,16,13,0.8125,0.025,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0052,low_reuse,15,15,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0053,low_reuse,14,11,0.7857,0.0659,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0054,moderate_reuse,14,5,0.3571,0.2418,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0055,moderate_reuse,14,6,0.4286,0.1868,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0056,moderate_reuse,15,10,0.6667,0.0857,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0057,high_reuse,13,2,0.1538,0.4872,8
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0058,low_reuse,12,12,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0059,low_reuse,12,12,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0060,moderate_reuse,13,8,0.6154,0.1154,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0061,low_reuse,14,12,0.8571,0.022,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0062,moderate_reuse,15,9,0.6,0.1524,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0063,moderate_reuse,13,5,0.3846,0.2949,7
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0064,low_reuse,15,13,0.8667,0.0286,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0065,low_reuse,15,13,0.8667,0.019,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0066,high_reuse,15,5,0.3333,0.3619,9
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0067,moderate_reuse,11,4,0.3636,0.1818,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0068,moderate_reuse,16,11,0.6875,0.05,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0069,moderate_reuse,14,8,0.5714,0.2308,7
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0070,high_reuse,13,5,0.3846,0.2692,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0071,low_reuse,11,11,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0072,high_reuse,14,1,0.0714,1.0,14
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0073,low_reuse,12,11,0.9167,0.0152,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0074,low_reuse,12,11,0.9167,0.0152,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0075,low_reuse,12,11,0.9167,0.0152,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0076,low_reuse,13,13,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0077,moderate_reuse,14,8,0.5714,0.1758,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0078,moderate_reuse,13,11,0.8462,0.0256,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0079,moderate_reuse,13,8,0.6154,0.0769,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0080,high_reuse,14,1,0.0714,1.0,14
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0081,moderate_reuse,16,7,0.4375,0.125,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0082,moderate_reuse,14,10,0.7143,0.0769,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0083,moderate_reuse,13,7,0.5385,0.1154,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0084,low_reuse,14,13,0.9286,0.011,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0085,low_reuse,11,11,1.0,0.0,1
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0086,moderate_reuse,13,9,0.6923,0.0513,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0087,high_reuse,14,5,0.3571,0.4945,10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0088,high_reuse,14,5,0.3571,0.2308,6
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0089,moderate_reuse,13,7,0.5385,0.1538,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0090,low_reuse,17,15,0.8824,0.0147,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0091,moderate_reuse,15,10,0.6667,0.0762,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0092,high_reuse,10,3,0.3,0.6222,8
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0093,low_reuse,8,7,0.875,0.0357,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0094,low_reuse,11,9,0.8182,0.0545,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0095,high_reuse,14,3,0.2143,0.3736,8
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0096,moderate_reuse,14,5,0.3571,0.3297,8
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0097,moderate_reuse,13,10,0.7692,0.0385,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0098,low_reuse,8,6,0.75,0.0714,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0099,high_reuse,14,6,0.4286,0.3956,9
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0100,low_reuse,12,11,0.9167,0.0152,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0101,low_reuse,13,12,0.9231,0.0128,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0102,low_reuse,11,7,0.6364,0.1273,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0103,moderate_reuse,11,9,0.8182,0.0545,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0104,high_reuse,14,5,0.3571,0.2088,5
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0105,high_reuse,14,5,0.3571,0.3407,8
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0106,low_reuse,15,14,0.9333,0.0095,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0107,low_reuse,16,15,0.9375,0.0083,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0108,low_reuse,13,11,0.8462,0.0256,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0109,moderate_reuse,16,11,0.6875,0.05,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0110,low_reuse,10,9,0.9,0.0222,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0111,low_reuse,13,11,0.8462,0.0256,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0112,low_reuse,13,11,0.8462,0.0256,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0113,moderate_reuse,16,10,0.625,0.0833,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0114,low_reuse,12,8,0.6667,0.1061,4
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0115,low_reuse,14,12,0.8571,0.033,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0116,high_reuse,13,3,0.2308,0.5897,10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0117,low_reuse,13,11,0.8462,0.0385,3
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0118,low_reuse,17,15,0.8824,0.0147,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0119,moderate_reuse,11,9,0.8182,0.0364,2
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0120,high_reuse,12,5,0.4167,0.2576,6
