data_classification,respondent_id,synthetic_profile,account,category,reuse_group
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,shopping_secondary,shopping,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,social_primary,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,social_secondary,social,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,messaging,social,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,gaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,music_streaming,entertainment,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,video_streaming,entertainment,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,computer_login,device,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0003,moderate_reuse,phone_or_tablet,device,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,secondary_email,email,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,school_or_work_email,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,school_or_work_portal,work_school,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,cloud_productivity,work_school,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,banking,finance,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,payment_service,finance,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,shopping_primary,shopping,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,social_primary,social,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,social_secondary,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,messaging,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,gaming,entertainment,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,music_streaming,entertainment,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,video_streaming,entertainment,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0004,low_reuse,phone_or_tablet,device,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,secondary_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,school_or_work_portal,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,cloud_productivity,work_school,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,banking,finance,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,payment_service,finance,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,shopping_primary,shopping,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,social_secondary,social,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,messaging,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,gaming,entertainment,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,music_streaming,entertainment,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,video_streaming,entertainment,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0005,low_reuse,computer_login,device,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,secondary_email,email,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,banking,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,payment_service,finance,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,shopping_primary,shopping,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,shopping_secondary,shopping,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,messaging,social,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,gaming,entertainment,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,video_streaming,entertainment,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0006,low_reuse,phone_or_tablet,device,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,cloud_productivity,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,banking,finance,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,payment_service,finance,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,shopping_primary,shopping,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,shopping_secondary,shopping,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,social_primary,social,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,social_secondary,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,messaging,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,gaming,entertainment,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,music_streaming,entertainment,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,video_streaming,entertainment,G11
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,computer_login,device,G12
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0007,low_reuse,phone_or_tablet,device,G13
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,secondary_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,school_or_work_email,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,school_or_work_portal,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,banking,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,payment_service,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,shopping_primary,shopping,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,shopping_secondary,shopping,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,social_primary,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,social_secondary,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,messaging,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,gaming,entertainment,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,music_streaming,entertainment,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,video_streaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,computer_login,device,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0008,high_reuse,phone_or_tablet,device,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,school_or_work_portal,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,cloud_productivity,work_school,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,banking,finance,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,payment_service,finance,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,shopping_primary,shopping,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,messaging,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,computer_login,device,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0009,low_reuse,phone_or_tablet,device,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,secondary_email,email,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,school_or_work_email,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,school_or_work_portal,work_school,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,cloud_productivity,work_school,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,payment_service,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,shopping_primary,shopping,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,shopping_secondary,shopping,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,social_primary,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,social_secondary,social,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,messaging,social,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,gaming,entertainment,G11
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,video_streaming,entertainment,G12
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0010,low_reuse,phone_or_tablet,device,G13
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,secondary_email,email,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,school_or_work_portal,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,cloud_productivity,work_school,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,payment_service,finance,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,shopping_primary,shopping,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,shopping_secondary,shopping,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,social_primary,social,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,social_secondary,social,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,messaging,social,G09
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,gaming,entertainment,G10
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,music_streaming,entertainment,G11
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,video_streaming,entertainment,G11
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,computer_login,device,G12
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0011,low_reuse,phone_or_tablet,device,G13
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,payment_service,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,shopping_primary,shopping,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,shopping_secondary,shopping,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,social_primary,social,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,social_secondary,social,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,music_streaming,entertainment,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,video_streaming,entertainment,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,computer_login,device,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0012,moderate_reuse,phone_or_tablet,device,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,secondary_email,email,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,school_or_work_portal,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,payment_service,finance,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,shopping_primary,shopping,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,shopping_secondary,shopping,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,social_primary,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,social_secondary,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,messaging,social,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,gaming,entertainment,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,music_streaming,entertainment,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,video_streaming,entertainment,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,computer_login,device,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0013,high_reuse,phone_or_tablet,device,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,secondary_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,school_or_work_email,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,school_or_work_portal,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,banking,finance,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,payment_service,finance,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,shopping_primary,shopping,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,social_primary,social,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,social_secondary,social,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,messaging,social,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,music_streaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,video_streaming,entertainment,G07
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0014,moderate_reuse,phone_or_tablet,device,G08
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,secondary_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,school_or_work_email,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,school_or_work_portal,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,cloud_productivity,work_school,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,banking,finance,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,shopping_primary,shopping,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,social_primary,social,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,social_secondary,social,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,messaging,social,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,gaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,music_streaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,video_streaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,computer_login,device,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0015,high_reuse,phone_or_tablet,device,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,personal_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,secondary_email,email,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,school_or_work_email,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,school_or_work_portal,work_school,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,cloud_productivity,work_school,G03
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,banking,finance,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,payment_service,finance,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,shopping_primary,shopping,G04
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,social_primary,social,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,social_secondary,social,G02
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,messaging,social,G05
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,gaming,entertainment,G06
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,music_streaming,entertainment,G01
SYNTHETIC SURVEY DATA - NO HUMAN PASSWORDS OR RESPONSES,S0016,moderate_reuse,computer_login,device,G04
