data_classification,seed,tag,material,attenuation_db,distance_cm,repetition,modeled_read_probability,read_success
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,5,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,6,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,7,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,8,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,9,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,7,10,0.011607,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,1,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,2,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,3,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,4,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,5,0.001271,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,6,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,7,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,8,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,9,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,8,10,0.001271,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,1,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,2,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,3,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,4,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,5,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,6,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,7,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,8,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,9,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,9,10,0.000138,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,1,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,2,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,3,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,4,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,5,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,6,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,7,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,8,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,9,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,10,10,1.5e-05,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,1,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,2,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,3,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,4,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,5,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,6,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,7,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,8,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,9,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,11,10,2e-06,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,1,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,2,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,3,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,4,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,5,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,6,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,7,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,8,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,9,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,12,10,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,1,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,2,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,3,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,4,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,5,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,6,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,7,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,8,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,9,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,13,10,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,1,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,2,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,3,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,4,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,5,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,6,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,7,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,8,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,9,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,14,10,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,1,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,2,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,3,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,4,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,5,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,6,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,7,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,8,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,9,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,no_shield_control,0.0,15,10,0.0,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,1,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,2,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,3,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,4,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,5,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,6,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,7,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,8,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,9,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,1,10,0.99986,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,1,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,2,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,3,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,4,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,5,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,6,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,7,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,8,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,9,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,2,10,0.998685,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,1,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,2,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,3,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,4,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,5,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,6,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,7,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,8,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,9,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,3,10,0.987788,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,1,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,2,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,3,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,4,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,5,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,6,0.896017,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,7,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,8,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,9,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,4,10,0.896017,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,1,0.478611,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,2,0.478611,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,3,0.478611,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,4,0.478611,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,5,0.478611,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,6,0.478611,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,7,0.478611,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,8,0.478611,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,9,0.478611,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,5,10,0.478611,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,1,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,2,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,3,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,4,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,5,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,6,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,7,0.089077,True
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,8,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,9,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,6,10,0.089077,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,7,1,0.01031,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,7,2,0.01031,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,7,3,0.01031,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,7,4,0.01031,False
SIMULATED DATA - NOT PHYSICAL RFID MEASUREMENTS,20260924,small_key_fob,paper,0.2,7,5,0.01031,False
